Duration_12000
180,6
67,8
71,8
91,8
202,8
225,8
292,8
315,8
337,8
382,8
0,10
67,10
90,10
247,10
270,10
292,10
315,10
337,10
382,10
405,10
472,10
495,10
562,10
585,10
67,11
90,11
292,11
315,11
337,11
360,11
382,11
405,11
562,11
585,11
67,12
298,12
315,12
319,12
382,12
405,12
564,12
579,12
585,12
593,12
67,13
90,13
112,13
135,13
405,13
427,13
450,13
607,13
624,13
641,13
22,15
45,15
517,15
652,15
551,17
157,18
180,18
534,18
202,20
236,20
0,22
79,22
259,22
281,22
349,22
371,22
394,22
416,22
484,22
506,22
593,22
79,23
101,23
304,23
326,23
349,23
371,23
394,23
416,23
562,23
585,23
416,24
124,25
146,25
157,25
439,25
461,25
607,25
624,25
641,25
22,27
56,27
534,27
562,30
517,34
562,34
551,37
607,37
517,39
534,39
562,39
585,39
652,39
472,41
551,41
607,41
292,43
382,43
534,43
585,43
624,43
517,45
607,45
641,45
326,47
354,47
361,47
461,47
472,47
506,47
585,47
624,47
652,47
292,48
382,48
489,48
56,50
157,50
247,50
264,50
281,50
349,50
371,50
416,50
444,50
461,50
641,50
0,51
472,51
22,52
67,52
202,52
292,52
332,52
382,52
422,52
428,52
652,52
6,54
247,54
264,54
343,54
444,54
11,55
22,55
157,55
180,55
202,55
337,55
427,55
17,57
56,57
112,57
129,57
191,57
236,57
247,57
22,59
67,59
146,59
157,59
202,59
56,62
112,62
129,62
236,62
67,64
146,64
101,66
112,66
105,67
