Duration_12000
171,4
361,4
119,9
191,11
251,11
361,11
161,12
281,12
439,12
461,12
481,12
501,12
241,14
321,14
521,14
541,14
561,14
581,14
89,16
171,16
361,16
601,16
191,18
281,19
405,20
119,21
161,21
321,21
403,22
79,23
191,23
241,23
251,23
601,23
161,24
281,24
449,24
471,24
491,24
511,24
241,26
321,26
401,26
531,26
551,26
571,26
591,26
399,27
40,28
79,28
449,28
471,28
491,28
511,28
601,28
531,30
551,30
571,30
591,30
397,31
395,32
393,34
391,38
571,38
389,39
40,40
601,40
631,40
659,40
689,40
73,41
0,42
30,42
521,42
551,42
71,43
387,43
511,43
541,43
69,44
385,44
10,45
501,45
605,45
635,45
665,45
695,45
20,47
89,47
439,47
491,47
611,47
641,47
669,47
699,47
67,48
65,50
139,50
221,50
261,50
321,50
381,50
571,50
615,50
645,50
675,50
63,51
99,52
161,52
231,52
281,52
361,52
439,52
61,53
0,54
109,54
129,54
211,54
321,54
521,54
551,54
40,55
119,55
191,55
281,55
511,55
541,55
621,55
649,55
361,56
321,57
501,57
621,57
20,59
89,59
281,59
361,59
439,59
491,59
649,59
679,59
16,62
139,62
191,62
221,62
261,62
321,62
679,62
20,63
40,64
99,64
161,64
231,64
281,64
361,64
109,66
129,66
211,66
119,67
191,67
