Duration_12000
0,5b
0,17b
0,29g
10,36g
100,34g
1000,17b
10000,18b
10010,30b
10010,49g
10020,52g
10020,18b
10030,30b
10030,54g
10034,49g
1004,44g
10040,18b
10046,52g
10050,30b
10050,47g
10056,49g
10060,45g
10060,16b
10070,46g
10070,28b
10080,11b
10080,47g
10090,23b
10090,38g
10094,47g
1010,29b
10100,38g
10110,47g
10120,13b
10120,49g
10130,25b
10130,57g
1014,48g
10140,56g
10150,52g
10160,6b
10160,54g
10170,18b
10180,8b
10190,20b
1020,17b
1020,46g
10200,9b
10210,21b
10220,11b
10230,23b
1024,44g
10240,14b
10240,49g
10250,26b
10260,14b
10260,57g
10270,26b
10280,56g
10280,14b
10290,57g
10290,26b
1030,29b
1030,43g
10300,14b
10310,59g
10310,26b
10320,16b
10330,28b
1034,41g
10340,16b
10340,57g
10350,28b
10360,56g
10360,16b
10370,28b
10380,52g
10380,16b
10390,28b
10390,53g
104,36g
1040,17b
10400,18b
10400,54g
10410,30b
10420,18b
10420,61g
10430,30b
10440,18b
10440,59g
10450,61g
10450,30b
10460,18b
10470,64g
10470,30b
10480,18b
10490,30b
1050,48g
1050,29b
10500,18b
10500,62g
10510,30b
10520,18b
10520,61g
10530,30b
10540,59g
10540,16b
10550,28b
10560,14b
10560,57g
10570,26b
10580,14b
10590,26b
1060,46g
1060,17b
10600,56g
10600,14b
10610,57g
10610,26b
10620,14b
10630,26b
10630,59g
1064,48g
10640,16b
10650,28b
10660,57g
10660,16b
10670,28b
10680,16b
10680,56g
10690,28b
1070,29b
10700,52g
10700,16b
10700,47g
10710,53g
10710,28b
10710,48g
10720,18b
10720,49g
10720,54g
10730,30b
10730,47g
10730,52g
1074,43g
10740,56g
10740,18b
10750,54g
10750,30b
10750,57g
10760,18b
10770,49g
10770,30b
10780,18b
10780,56g
10780,59g
10790,61g
10790,30b
10790,57g
1080,17b
10800,18b
10810,59g
10810,64g
10810,30b
10820,20b
10820,61g
10820,66g
10830,32b
10830,69g
1084,44g
10840,21b
10840,64g
10840,68g
10850,33b
10850,61g
10850,66g
10860,59g
10860,64g
10860,16b
10870,28b
10880,14b
10880,61g
10880,66g
10890,26b
1090,29b
10900,14b
10900,69g
10910,26b
10920,68g
10920,14b
10920,64g
10930,66g
10930,26b
10930,61g
1094,48g
10940,14b
10950,61g
10950,66g
10950,26b
10960,16b
10970,28b
10980,16b
10990,28b
1100,39g
1100,17b
11000,16b
11010,28b
11020,16b
11030,28b
11040,18b
11050,30b
11060,18b
11060,69g
11060,73g
11070,30b
11080,18b
11080,71g
11080,68g
11090,66g
11090,30b
11090,69g
1110,40g
1110,29b
11100,18b
11100,68g
11100,64g
11110,30b
11110,66g
11110,69g
11120,18b
11130,30b
11140,18b
11150,30b
11160,18b
11170,30b
11180,16b
11190,28b
1120,41g
1120,17b
11200,14b
11210,26b
11220,14b
11220,68g
11220,64g
11230,26b
11240,62g
11240,66g
11240,14b
11250,26b
11260,64g
11260,14b
11260,68g
11270,66g
11270,69g
11270,26b
11280,16b
11290,28b
1130,48g
1130,29b
11300,16b
11300,68g
11300,64g
11310,28b
11320,16b
11320,66g
11320,61g
11330,28b
11340,16b
11340,64g
11340,68g
11350,70g
11350,66g
11350,28b
11360,18b
11370,30b
11380,18b
11390,30b
114,31g
1140,17b
1140,46g
11400,18b
11410,30b
11420,18b
11430,30b
1144,48g
11440,18b
11450,30b
11460,18b
11470,30b
11480,18b
11490,30b
1150,29b
11500,18b
11510,30b
1154,43g
1160,19b
1166,44g
1170,31b
1176,48g
1180,46g
1180,19b
1186,44g
1190,31b
1190,43g
1196,41g
1200,20b
1210,48g
1210,32b
1220,46g
1220,22b
1226,48g
1230,34b
1236,51g
124,32g
1240,24b
1246,53g
1250,36b
1256,56g
1260,27b
1260,55g
1266,53g
1270,39b
1270,51g
1280,36g
1280,13b
1290,44g
1290,25b
1300,43g
1300,13b
1306,44g
1310,25b
1310,43g
1320,15b
1320,46g
1330,44g
1330,27b
1340,15b
1340,43g
1346,44g
1350,27b
1350,43g
1356,39g
136,36g
1360,17b
1360,41g
1370,48g
1370,29b
1380,17b
1380,46g
1386,48g
1390,29b
1390,46g
1396,48g
140,27g
1400,51g
1400,17b
1410,29b
1410,48g
1420,15b
1420,46g
1430,27b
1430,48g
1440,13b
1440,36g
1450,44g
1450,25b
1460,13b
1460,43g
1466,44g
1470,43g
1470,25b
1480,46g
1480,15b
1490,27b
1490,44g
150,28g
1500,15b
1500,43g
1506,44g
1510,43g
1510,27b
1516,39g
1520,41g
1520,17b
1530,29b
1530,48g
1540,19b
1540,46g
1546,48g
1550,31b
1550,46g
1556,48g
1560,52g
1560,20b
1570,32b
1570,48g
1580,46g
1580,22b
1590,48g
1590,34b
160,29g
1600,36g
1600,13b
1610,25b
1610,44g
1620,13b
1620,43g
1626,44g
1630,25b
1630,43g
1640,46g
1640,15b
1650,27b
1650,44g
1660,15b
1660,43g
1666,44g
1670,43g
1670,27b
1676,39g
1680,17b
1680,41g
1690,29b
1690,48g
170,36g
1700,17b
1700,46g
1706,48g
1710,29b
1710,46g
1716,48g
1720,17b
1720,51g
1730,29b
1730,48g
1740,44g
1740,15b
1750,45g
1750,27b
1760,46g
1760,10b
1770,37g
1770,22b
1774,46g
1780,37g
1780,10b
1790,46g
1790,22b
180,34g
1800,48g
1800,12b
1810,24b
1810,39g
1814,48g
1820,12b
1820,39g
1830,24b
1830,48g
1840,49g
1840,13b
1850,25b
186,36g
1860,14b
1870,50g
1870,26b
1880,51g
1880,15b
1890,27b
1900,15b
1910,27b
1920,36g
1920,13b
1930,25b
1930,44g
1940,43g
1940,13b
1944,44g
1950,43g
1950,25b
196,31g
1960,46g
1960,15b
1970,27b
1970,44g
1980,43g
1980,15b
1984,44g
1990,43g
1990,27b
1994,39g
20,34g
2000,17b
2000,41g
2010,48g
2010,29b
2020,46g
2020,17b
2024,48g
2030,29b
2030,46g
2034,48g
2040,17b
2040,51g
2050,29b
2050,48g
206,32g
2060,15b
2060,46g
2070,27b
2070,48g
2080,36g
2080,13b
2090,25b
2090,44g
2100,13b
2100,43g
2104,44g
2110,25b
2110,43g
2120,46g
2120,15b
2130,27b
2130,44g
2140,43g
2140,15b
2144,44g
2150,43g
2150,27b
2154,39g
216,36g
2160,41g
2160,17b
2170,29b
2170,48g
2180,19b
2180,46g
2184,48g
2190,31b
2190,46g
2196,48g
220,34g
2200,20b
2200,52g
2210,32b
2210,48g
2220,22b
2220,46g
2230,34b
2230,48g
2240,13b
2240,36g
2250,25b
2250,44g
226,32g
2260,13b
2260,43g
2266,44g
2270,43g
2270,25b
2280,46g
2280,15b
2290,44g
2290,27b
230,31g
2300,43g
2300,15b
2306,44g
2310,27b
2310,43g
2316,39g
2320,17b
2320,41g
2330,29b
2330,48g
2340,17b
2340,46g
2346,48g
2350,46g
2350,29b
2356,48g
236,29g
2360,17b
2360,51g
2370,29b
2370,48g
2380,15b
2380,44g
2390,27b
2390,45g
24,36g
2400,10b
2400,46g
2410,37g
2410,22b
2416,46g
2420,10b
2420,37g
2430,22b
2430,46g
2440,12b
2440,48g
2450,46g
2450,24b
2460,44g
2460,12b
2470,24b
