Duration_12000
0,42
0,54
10,45
16,62
20,47
20,63
20,59
30,42
40,28
40,40
40,64
40,55
61,53
63,51
65,50
67,48
69,44
71,43
73,41
79,28
79,23
89,47
89,16
89,59
99,52
99,64
109,66
109,54
119,55
119,21
119,9
119,67
129,66
129,54
139,62
139,50
161,24
161,12
161,21
161,64
161,52
171,4
171,16
191,67
191,23
191,18
191,62
191,55
191,11
211,54
211,66
221,50
221,62
231,64
231,52
241,23
241,26
241,14
251,23
251,11
261,50
261,62
281,64
281,52
281,59
281,19
281,12
281,24
281,55
321,57
321,26
321,14
321,62
321,21
321,54
321,50
361,4
361,64
361,11
361,59
361,56
361,52
361,16
381,50
385,44
387,43
389,39
391,38
393,34
395,32
397,31
399,27
401,26
403,22
405,20
439,12
439,59
439,52
439,47
449,24
449,28
461,12
471,24
471,28
481,12
491,59
491,24
491,47
491,28
501,12
501,57
501,45
511,28
511,55
511,24
511,43
521,54
521,14
521,42
531,30
531,26
541,55
541,14
541,43
551,42
551,54
551,26
551,30
561,14
571,26
571,30
571,50
571,38
581,14
591,30
591,26
601,40
601,28
601,16
601,23
605,45
611,47
615,50
621,57
621,55
631,40
635,45
641,47
645,50
649,59
649,55
659,40
665,45
669,47
675,50
679,62
679,59
689,40
695,45
699,47
