Duration_12000
0,17
0,48
0,29
0,57
6,33
6,50
11,59
11,31
16,35
22,48
22,38
22,26
22,31
32,35
32,60
32,47
38,38
43,53
43,19
48,35
54,33
54,52
54,45
64,47
64,40
64,55
75,48
75,57
75,33
86,40
96,45
96,33
96,52
107,55
107,47
107,40
118,57
118,48
118,33
128,40
139,52
139,29
149,50
149,55
149,36
160,57
160,52
160,29
171,36
171,48
181,29
181,60
192,36
192,59
192,50
195,60
195,52
197,59
197,50
203,29
203,48
203,57
213,47
213,55
213,36
224,50
224,31
235,52
235,38
235,48
245,31
245,50
245,55
256,38
267,31
267,47
277,38
277,48
277,52
288,31
288,50
288,55
299,38
309,48
309,52
309,33
320,50
320,55
320,40
331,57
331,33
331,52
341,48
341,40
352,64
352,28
352,60
363,33
363,59
363,62
365,60
365,64
368,62
368,36
368,59
373,31
373,60
373,57
379,33
384,35
384,59
384,55
389,38
394,52
394,48
394,33
405,40
405,55
405,50
416,57
416,33
416,52
426,40
437,33
437,48
448,50
448,55
448,40
458,57
458,33
458,52
469,40
480,29
480,48
490,55
490,50
490,36
501,52
501,29
501,57
512,48
512,36
522,29
522,60
533,59
533,36
533,50
536,52
536,60
538,59
538,50
544,29
544,57
544,48
554,47
554,36
554,55
565,50
565,31
576,38
576,52
576,48
586,45
586,31
597,38
607,43
607,47
607,31
618,38
629,31
650,33
